"id"	"label"	"description"	"x"	"y"	"cluster"	"weight<EU pub.>"	"weight<Total  link strength>"	"weight<Mur pub.>"	"weight<Spain pub.>"	"weight<Links>"
912	912	"<table><tr><td>Micro-level field:</td><td>912</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>psychology of sport and exercise; frontiers in psychology; sport psychologist; journal of applied sport psychology; journal of sports sciences</td></tr><tr><td>Terms:</td><td>relative age effect; self determination theory; motivational climate; mental toughness; basic psychological need</td></tr></table>"	"-0.2751"	"0.7312"	1	6726	263556	247	1439	1851
5	5	"<table><tr><td>Micro-level field:</td><td>5</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of business research; strategic management journal; research policy; journal of knowledge management; sustainability</td></tr><tr><td>Terms:</td><td>open innovation; knowledge management; absorptive capacity; knowledge integration; tacit knowledge</td></tr></table>"	"0.063"	"0.7806"	1	14185	981021	167	2393	3066
93	93	"<table><tr><td>Micro-level field:</td><td>93</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of corporate finance; journal of financial economics; journal of banking & finance; corporate governance-an international review; review of financial studies</td></tr><tr><td>Terms:</td><td>family business; venture capital; family firm; private equity; corporate board</td></tr></table>"	"0.0418"	"0.7901"	1	8410	476691	95	1135	1992
24	24	"<table><tr><td>Micro-level field:</td><td>24</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>economics letters; applied economics; economic modelling; applied economics letters; journal of international money and finance</td></tr><tr><td>Terms:</td><td>power parity; fiscal policy; optimal monetary policy; exchange rate pass; unit root</td></tr></table>"	"0.0459"	"0.7854"	1	15626	264573	85	1798	2222
77	77	"<table><tr><td>Micro-level field:</td><td>77</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of child and family studies; journal of the american academy of child and adolescent psychiatry; journal of abnormal child psychology; journal of clinical child and adolescent psychology; journal of family psychology</td></tr><tr><td>Terms:</td><td>selective mutism; difficulties questionnaire; adolescent depression; childhood anxiety; sdq</td></tr></table>"	"-0.4137"	"0.6217"	1	9280	849195	77	893	2226
696	696	"<table><tr><td>Micro-level field:</td><td>696</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Life and earth sciences</td></tr><tr><td>Sources:</td><td>quaternary international; journal of archaeological science; quaternary science reviews; journal of human evolution; journal of archaeological science-reports</td></tr><tr><td>Terms:</td><td>middle stone age; mis; middle palaeolithic; acheulean; nihewan basin</td></tr></table>"	"0.0068"	"0.1879"	1	8214	222219	72	2466	2350
2740	2740	"<table><tr><td>Micro-level field:</td><td>2740</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>sport education and society; journal of teaching in physical education; physical education and sport pedagogy; european physical education review; quest</td></tr><tr><td>Terms:</td><td>physical education teacher education; sport education; kinesiology; pete; curriculum</td></tr></table>"	"-0.2536"	"0.7921"	1	1533	33995	71	424	1034
182	182	"<table><tr><td>Micro-level field:</td><td>182</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>sustainability; journal of business ethics; journal of cleaner production; business strategy and the environment; corporate social responsibility and environmental management</td></tr><tr><td>Terms:</td><td>corporate social responsibility; financial performance; csr; green innovation; sustainable supply chain management</td></tr></table>"	"0.0512"	"0.7715"	1	9247	598537	67	1996	2663
676	676	"<table><tr><td>Micro-level field:</td><td>676</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>system; procedia social and behavioral sciences; foreign language annals; language teaching research; computer assisted language learning</td></tr><tr><td>Terms:</td><td>corrective feedback; willingness; recast; vocabulary; foreign language anxiety</td></tr></table>"	"-0.1532"	"0.8303"	1	3076	110930	66	849	1670
159	159	"<table><tr><td>Micro-level field:</td><td>159</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Mathematics and computer science</td></tr><tr><td>Sources:</td><td>industrial marketing management; total quality management & business excellence; journal of business research; international journal of operations & production management; journal of business & industrial marketing</td></tr><tr><td>Terms:</td><td>customer loyalty; service recovery; service failure; loyalty; relationship quality</td></tr></table>"	"0.0754"	"0.7719"	1	7099	523367	65	1115	2457
856	856	"<table><tr><td>Micro-level field:</td><td>856</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>aggressive behavior; journal of youth and adolescence; international journal of environmental research and public health; journal of interpersonal violence; social development</td></tr><tr><td>Terms:</td><td>bullying; victimization; moral disengagement; victim; perpetration</td></tr></table>"	"-0.2948"	"0.7305"	1	4572	294304	60	1003	1562
990	990	"<table><tr><td>Micro-level field:</td><td>990</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>applied psychological measurement; educational and psychological measurement; structural equation modeling-a multidisciplinary journal; psychometrika; journal of educational measurement</td></tr><tr><td>Terms:</td><td>item response theory; differential item; computerized adaptive; promi; structural equation modeling</td></tr></table>"	"-0.2988"	"0.6813"	1	3856	300847	50	690	2508
553	553	"<table><tr><td>Micro-level field:</td><td>553</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Mathematics and computer science</td></tr><tr><td>Sources:</td><td>european journal of operational research; sustainability; journal of productivity analysis; journal of cleaner production; journal of the operational research society</td></tr><tr><td>Terms:</td><td>data envelopment analysis; china; dea; efficiency; dea model</td></tr></table>"	"0.1409"	"0.6218"	1	4933	212198	49	1127	2549
167	167	"<table><tr><td>Micro-level field:</td><td>167</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Mathematics and computer science</td></tr><tr><td>Sources:</td><td>computers in human behavior; lecture notes in computer science; sustainability; information & management; journal of retailing and consumer services</td></tr><tr><td>Terms:</td><td>technology acceptance model; e learning; tam; user acceptance; mobile banking</td></tr></table>"	"0.0743"	"0.772"	1	4091	565919	49	840	2893
