"id"	"label"	"description"	"x"	"y"	"cluster"	"weight<EU pub.>"	"weight<Total  link strength>"	"weight<Mur pub.>"	"weight<Spain pub.>"	"weight<Links>"
79	79	"<table><tr><td>Micro-level field:</td><td>79</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of strength and conditioning research; international journal of sports physiology and performance; journal of sports sciences; european journal of applied physiology; international journal of sports medicine</td></tr><tr><td>Terms:</td><td>small sided game; blood flow restriction; front crawl; critical power; bench press</td></tr></table>"	"-0.7264"	"0.2246"	2	15566	381451	538	3755	2725
153	153	"<table><tr><td>Micro-level field:</td><td>153</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>theriogenology; animal reproduction science; andrologia; fertility and sterility; reproduction in domestic animals</td></tr><tr><td>Terms:</td><td>extender; boar spermatozoa; seminal plasma; human sperm; capacitation</td></tr></table>"	"-0.787"	"-0.1854"	2	8523	415976	319	2158	2743
312	312	"<table><tr><td>Micro-level field:</td><td>312</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of cataract and refractive surgery; journal of refractive surgery; cornea; ophthalmology; american journal of ophthalmology</td></tr><tr><td>Terms:</td><td>corneal cross; small incision lenticule extraction; wavefront; smile; progressive keratoconus</td></tr></table>"	"-0.779"	"-0.078"	2	7830	137106	231	2071	2233
205	205	"<table><tr><td>Micro-level field:</td><td>205</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>clinical oral implants research; international journal of oral & maxillofacial implants; international journal of periodontics & restorative dentistry; journal of periodontology; journal of prosthetic dentistry</td></tr><tr><td>Terms:</td><td>peri implantitis; accuracy; immediate implant placement; overdenture; edentulous patient</td></tr></table>"	"-0.7388"	"0.0349"	2	11117	236924	211	1703	2356
209	209	"<table><tr><td>Micro-level field:</td><td>209</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of cardiology; thrombosis research; journal of thrombosis and thrombolysis; american journal of cardiology; thrombosis and haemostasis</td></tr><tr><td>Terms:</td><td>warfarin; oral anticoagulant; stroke prevention; venous thromboembolism; rivaroxaban</td></tr></table>"	"-0.9034"	"0.0023"	2	9742	370118	198	1079	2255
2003	2003	"<table><tr><td>Micro-level field:</td><td>2003</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>transplantation proceedings; transplantation; american journal of transplantation; progress in transplantation; clinical transplantation</td></tr><tr><td>Terms:</td><td>brain death; organ donation; tissue donation; attitude; knowledge</td></tr></table>"	"-0.9039"	"0.1523"	2	1979	48850	193	475	1653
999	999	"<table><tr><td>Micro-level field:</td><td>999</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>pigment cell & melanoma research; journal of investigative dermatology; pigment cell research; british journal of dermatology; experimental dermatology</td></tr><tr><td>Terms:</td><td>vitiligo; melanogenesis; tyrosinase; albinism; melanocortin</td></tr></table>"	"-0.7208"	"-0.277"	2	3090	275037	171	413	2605
799	799	"<table><tr><td>Micro-level field:</td><td>799</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>nutrients; public health nutrition; british journal of nutrition; european journal of clinical nutrition; american journal of clinical nutrition</td></tr><tr><td>Terms:</td><td>dietary inflammatory index; food frequency questionnaire; mediterranean diet; breast cancer risk; ffq</td></tr></table>"	"-0.7237"	"0.0128"	2	5783	474384	161	1515	2723
222	222	"<table><tr><td>Micro-level field:</td><td>222</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>thrombosis research; journal of thrombosis and haemostasis; thrombosis and haemostasis; clinical and applied thrombosis-hemostasis; journal of thrombosis and thrombolysis</td></tr><tr><td>Terms:</td><td>acute pulmonary embolism; inferior vena cava filter; tomography; venous thromboembolism prophylaxis; may thurner syndrome</td></tr></table>"	"-0.9132"	"0.0016"	2	7865	280543	144	882	2149
44	44	"<table><tr><td>Micro-level field:</td><td>44</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of asthma; journal of allergy and clinical immunology; annals of allergy asthma & immunology; respiratory medicine; european respiratory journal</td></tr><tr><td>Terms:</td><td>childhood asthma; eczema; asthma control; asthma management; pediatric asthma</td></tr></table>"	"-0.7611"	"-0.0978"	2	13202	602563	136	1257	2792
